Algorithm,Sequence,CacheSize,Hits,Misses,HitRatio,TimeMs
OptimizedLRU,uniform_random,2,207,9793,0.0207,0.4161
NaiveLRU,uniform_random,2,207,9793,0.0207,0.1007
FIFO,uniform_random,2,207,9793,0.0207,0.3453
Belady,uniform_random,2,909,9091,0.0909,0.4121
SLRU,uniform_random,2,207,9793,0.0207,0.3444
OptimizedLRU,uniform_random,4,406,9594,0.0406,0.3906
NaiveLRU,uniform_random,4,406,9594,0.0406,0.0781
FIFO,uniform_random,4,402,9598,0.0402,0.2675
Belady,uniform_random,4,1862,8138,0.1862,0.4314
SLRU,uniform_random,4,392,9608,0.0392,0.3435
OptimizedLRU,uniform_random,8,773,9227,0.0773,0.4468
NaiveLRU,uniform_random,8,773,9227,0.0773,0.1769
FIFO,uniform_random,8,769,9231,0.0769,0.3810
Belady,uniform_random,8,3049,6951,0.3049,0.7163
SLRU,uniform_random,8,740,9260,0.0740,0.4465
OptimizedLRU,uniform_random,12,1171,8829,0.1171,0.4853
NaiveLRU,uniform_random,12,1171,8829,0.1171,0.1905
FIFO,uniform_random,12,1160,8840,0.1160,0.4459
Belady,uniform_random,12,3892,6108,0.3892,0.7127
SLRU,uniform_random,12,1155,8845,0.1155,0.4201
OptimizedLRU,uniform_random,16,1588,8412,0.1588,0.4239
NaiveLRU,uniform_random,16,1588,8412,0.1588,0.1761
FIFO,uniform_random,16,1593,8407,0.1593,0.3501
Belady,uniform_random,16,4570,5430,0.4570,0.6161
SLRU,uniform_random,16,1520,8480,0.1520,0.4482
OptimizedLRU,uniform_random,24,2358,7642,0.2358,0.4693
NaiveLRU,uniform_random,24,2358,7642,0.2358,0.2290
FIFO,uniform_random,24,2366,7634,0.2366,0.4064
Belady,uniform_random,24,5640,4360,0.5640,0.8576
SLRU,uniform_random,24,2263,7737,0.2263,0.4963
OptimizedLRU,uniform_random,32,3188,6812,0.3188,0.3532
NaiveLRU,uniform_random,32,3188,6812,0.3188,0.3179
FIFO,uniform_random,32,3210,6790,0.3210,0.2910
Belady,uniform_random,32,6482,3518,0.6482,0.6761
SLRU,uniform_random,32,3090,6910,0.3090,0.4931
OptimizedLRU,uniform_random,48,4762,5238,0.4762,0.2643
NaiveLRU,uniform_random,48,4762,5238,0.4762,0.4091
FIFO,uniform_random,48,4813,5187,0.4813,0.2530
Belady,uniform_random,48,7750,2250,0.7750,0.5273
SLRU,uniform_random,48,4684,5316,0.4684,0.4778
OptimizedLRU,uniform_random,64,6384,3616,0.6384,0.1672
NaiveLRU,uniform_random,64,6384,3616,0.6384,0.4687
FIFO,uniform_random,64,6327,3673,0.6327,0.1246
Belady,uniform_random,64,8660,1340,0.8660,0.4615
SLRU,uniform_random,64,6248,3752,0.6248,0.4807
OptimizedLRU,high_locality,2,1223,8777,0.1223,0.3507
NaiveLRU,high_locality,2,1223,8777,0.1223,0.0972
FIFO,high_locality,2,1228,8772,0.1228,0.2397
Belady,high_locality,2,2667,7333,0.2667,0.3844
SLRU,high_locality,2,1435,8565,0.1435,0.3665
OptimizedLRU,high_locality,4,2475,7525,0.2475,0.3122
NaiveLRU,high_locality,4,2475,7525,0.2475,0.1310
FIFO,high_locality,4,2395,7605,0.2395,0.2624
Belady,high_locality,4,4865,5135,0.4865,0.3303
SLRU,high_locality,4,2985,7015,0.2985,0.3636
OptimizedLRU,high_locality,8,4765,5235,0.4765,0.2763
NaiveLRU,high_locality,8,4765,5235,0.4765,0.1255
FIFO,high_locality,8,4385,5615,0.4385,0.2755
Belady,high_locality,8,7173,2827,0.7173,0.3040
SLRU,high_locality,8,5999,4001,0.5999,0.2456
OptimizedLRU,high_locality,12,6562,3438,0.6562,0.2316
NaiveLRU,high_locality,12,6562,3438,0.6562,0.1625
FIFO,high_locality,12,5708,4292,0.5708,0.2516
Belady,high_locality,12,8200,1800,0.8200,0.2638
SLRU,high_locality,12,7918,2082,0.7918,0.1944
OptimizedLRU,high_locality,16,7625,2375,0.7625,0.1982
NaiveLRU,high_locality,16,7625,2375,0.7625,0.2649
FIFO,high_locality,16,6544,3456,0.6544,0.2014
Belady,high_locality,16,8528,1472,0.8528,0.2465
SLRU,high_locality,16,8106,1894,0.8106,0.2933
OptimizedLRU,high_locality,24,8291,1709,0.8291,0.1845
NaiveLRU,high_locality,24,8291,1709,0.8291,0.2217
FIFO,high_locality,24,7435,2565,0.7435,0.1674
Belady,high_locality,24,8878,1122,0.8878,0.3224
SLRU,high_locality,24,8252,1748,0.8252,0.1999
OptimizedLRU,high_locality,32,8486,1514,0.8486,0.1232
NaiveLRU,high_locality,32,8486,1514,0.8486,0.2489
FIFO,high_locality,32,7908,2092,0.7908,0.1248
Belady,high_locality,32,9108,892,0.9108,0.3091
SLRU,high_locality,32,8453,1547,0.8453,0.2512
OptimizedLRU,high_locality,48,8809,1191,0.8809,0.1375
NaiveLRU,high_locality,48,8809,1191,0.8809,0.3029
FIFO,high_locality,48,8550,1450,0.8550,0.1036
Belady,high_locality,48,9425,575,0.9425,0.2248
SLRU,high_locality,48,8765,1235,0.8765,0.2011
OptimizedLRU,high_locality,64,9147,853,0.9147,0.0795
NaiveLRU,high_locality,64,9147,853,0.9147,0.3571
FIFO,high_locality,64,9013,987,0.9013,0.0516
Belady,high_locality,64,9634,366,0.9634,0.1613
SLRU,high_locality,64,9074,926,0.9074,0.2208
